59,0,0,14.99,0,0
61,0.01,0,19.91,0,0
71.1,0.08,0,18.12,0,0
75,0.06,0,18.12,0,0
55.9,0,0,14.09,0,0
45,0,0,12.97,0,0
62.1,0,0,21.92,0,1
73.9,0,0,21.03,0,1
48.9,0.33,0,12.97,0,0
69.1,0.28,0,59.95,0,1
62.1,0,0,21.03,0,1
59,0,0,17,0,0
46.9,0,0,17,0,0
54,0,0,17,0,0
61,0.36,0,25.05,0,1
55.9,0.29,0,18.12,0,0
36,0.46,0,19.91,0,0
75.9,0,0,18.12,0,0
72,0,0,12.97,0,0
71.1,1.32,0,25.05,0,1
80.1,0.47,0,23.94,0,1
84,0,0,16.11,0,0
69.1,0,0,14.09,0,0
75.9,0,0,17,0,0
78.1,0,0,12.08,0,0
73,0,0,12.08,0,0
87.1,0,0,16.11,0,1
90,0.22,0,25.05,0,1
84.9,0,0,8.95,0,0
90,0.29,0,14.09,0,1
93.9,0.58,0,31.99,0,1
96.1,0,0,19.91,0,1
79,1.16,0,12.08,0,0
81,0,0,16.11,0,0
96.1,0,0,23.94,0,1
81,0,0,6.04,0,0
66,0,0,10.07,0,0
80.1,0,0,17,0,0
73.9,0,0,14.09,0,0
75.9,0,0,16.11,0,0
84,0,0,14.99,0,0
66.9,0,0,10.07,0,0
66,0,0,16.11,0,0
68,0.21,0,21.92,0,1
66.9,0.43,0,25.05,0,1
46.9,0.05,0,12.08,0,0
52,0.32,0,10.07,0,0
60.1,0,0,12.97,0,0
50,0,0,10.07,0,0
41,0.02,0,17,0,0
39,0,0,8.05,0,0
41,0,0,8.95,0,0
51.1,0,0,12.08,0,0
48.9,0.14,0,12.97,0,0
62.1,0.39,0,25.95,0,1
50,0,0,16.11,0,0
35.1,0.72,3.94,17,0,1
61,0,0,12.97,0,0
84,0,0,29.97,0,1
78.1,0.28,0,21.92,0,1
54,0.02,0,12.97,0,0
69.1,0,0,12.08,0,0
79,0,0,12.08,0,0
80.1,0,0,14.99,0,0
87.1,0.3,0,17,0,1
89.1,0,0,12.97,0,1
89.1,0.31,0,18.12,0,1
95,0,0,10.07,0,1
96.1,0,0,10.07,0,1
84,0,0,16.11,0,0
86,0,0,16.11,0,0
88,0,0,10.07,0,1
89.1,0,0,8.95,0,1
90,0,0,10.07,0,1
90,0,0,12.08,0,1
95,1.68,0,25.95,0,1
89.1,0.19,0,21.92,0,1
88,0,0,16.11,0,1
87.1,0,0,8.95,0,1
91,0.21,0,25.95,0,1
78.1,0.34,0,18.12,0,0
75.9,0,0,14.09,0,0
84,0,0,8.95,0,0
86,0,0,12.97,0,0
75.9,0.2,0,18.12,0,0
77,0.03,0,18.12,0,0
66,0.34,0,19.91,0,0
68,1.23,0,19.91,0,0
66.9,0,0,12.08,0,0
75.9,0,0,10.07,0,0
77,0,0,12.97,0,0
72,0.54,0,17,0,0
69.1,0.22,0,10.07,0,0
77,0,0,23.94,0,1
66,0,0,16.11,0,0
64,0,0,6.93,0,0
66.9,0,0,14.09,0,0
72,0,0,19.91,0,0
73.9,0.13,0,12.08,0,0
57.9,0,0,12.97,0,0
54,0,0,10.07,0,0
64,0,0,16.11,0,0
66.9,0,0,12.08,0,0
59,0.16,0,16.11,0,0
77,0.04,0,23.04,0,1
73.9,0,0,17,0,0
73.9,0.01,0,8.95,0,0
53.1,0,0,10.07,0,0
63,0.05,0,25.05,0,1
43,0,0,12.08,0,0
35.1,0,0,14.09,0,0
46.9,0,1.18,10.07,0,1
61,0,0,17,0,0
55.9,0,0,14.99,0,0
72,0,0,21.03,0,1
72,1.26,0,23.94,0,1
44.1,0,0,14.99,0,0
41,0,0,16.11,0,0
34,0,0,17,0,0
60.1,1.16,0,27.96,0,1
71.1,0.04,0,23.04,0,1
46,0.19,0,12.97,0,0
66.9,0,0,21.03,0,1
48.9,0.03,0,14.99,0,0
57.9,0.04,0,17,0,0
79,0,0,25.05,0,1
80.1,0,0,23.04,0,1
86,0,0,17,0,0
43,0.09,0,12.97,0,0
64.9,0.06,0,16.11,0,0
69.1,0,0,16.11,0,0
64,0.85,0,18.12,0,0
64,0,0,19.91,0,0
66.9,0,0,21.92,0,1
70,0,0,16.11,0,0
77,0,0,19.91,0,0
73.9,0,0,12.97,0,0
75,0,0,16.11,0,0
82,0,0,21.92,0,1
87.1,0,0,16.11,0,1
89.1,0,0,14.99,0,1
82,0,0,14.09,0,0
84.9,0,0,12.97,0,0
88,0.1,0,14.99,0,1
84.9,0,0,12.08,0,0
93.9,0,0,12.08,0,1
87.1,1.98,0,14.99,0,1
93,0,0,14.09,0,1
91.9,0,0,10.07,0,1
93,0,0,12.97,0,1
89.1,0.54,0,14.99,0,1
93.9,0,0,17,0,1
90,0,0,12.97,0,1
91.9,0,0,14.09,0,1
91,0,0,12.97,0,1
90,0,0,17,0,1
90,0.06,0,12.97,0,1
86,0.45,0,21.92,0,1
79,0.32,0,18.12,0,0
84,0,0,17,0,0
68,0,0,16.11,0,0
73,0,0,8.05,0,0
84,0,0,17,0,0
86,0,0,12.08,0,0
70,0,0,14.99,0,0
66,0,0,14.99,0,0
68,0,0,10.07,0,0
69.1,0.07,0,18.12,0,0
64.9,0,0,14.99,0,0
71.1,0,0,10.07,0,0
66.9,0,0,17,0,0
55,0,0,19.91,0,0
77,0,0,23.94,0,1
53.1,0,0,18.12,0,0
54,0,0,16.11,0,0
62.1,0,0,10.07,0,0
72,0.06,0,21.92,0,1
48.9,0.56,0,14.99,0,0
60.1,0,0,8.95,0,0
60.1,0,0,10.07,0,0
